client,action_id,action_type,insured_id,insured_name,status,created_at,updated_at,scheduled_at,completed_at,notes,triggered_by,sync_date,sync_timestamp
Bauer Foundation Corp.,98d87da0-5817-41be-9cea-15c0a4eb483b,,,,,2026-08-05T15:13:47,,,,,,08/06/2026,08/06/2026 09:21:52
EMMES,07a1ba8d-b597-4264-9cdc-d67548728008,,,,,2026-08-05T22:59:35,,,,,,08/06/2026,08/06/2026 09:21:52
EMMES,2d2fd86b-bc88-4f12-babb-b38d303ef450,,e50e841c-0e77-43b0-a9f7-d20842ea00c5,,,2026-08-06T01:36:28,,,,,,08/06/2026,08/06/2026 09:21:52
EMMES,3164e6bc-66e3-4d13-9dd2-6bb7e1a494ae,,,,,2026-08-05T22:59:35,,,,,,08/06/2026,08/06/2026 09:21:52
EMMES,40ad4564-461c-4677-8f92-60ab14b82a41,,816bacc3-71d2-4787-bd15-09d7cf4ee8d8,,,2026-08-06T09:09:53,,,,,,08/06/2026,08/06/2026 09:21:52
EMMES,4aa74837-586d-44a6-a9b6-60c14d39dd12,,8fbbe75c-13c0-43a7-8856-b5806f6f4d85,,,2026-08-06T11:09:31,,,,,,08/06/2026,08/06/2026 09:21:52
EMMES,a0aec4ad-0b06-4d8c-96b8-ae64624e0be9,,177f49a8-8c4b-4643-a481-f7301dc419d1,,,2026-08-06T12:28:41,,,,,,08/06/2026,08/06/2026 09:21:52
EMMES,a95b0b44-9173-4f61-89e6-953be1c82ced,,,,,2026-08-06T12:28:41,,,,,,08/06/2026,08/06/2026 09:21:52
Gart Properties,72809f6f-5dd7-4ba2-b012-c191a9cd7af9,,,,,2026-07-23T13:41:46,,,,,,08/06/2026,08/06/2026 09:21:52
Gart Properties,812751ed-b60e-4d52-b3a0-99d8e87be284,,,,,2026-08-06T07:07:54,,,,,,08/06/2026,08/06/2026 09:21:52
Scandroli Construction,053837ef-b00c-4fab-b13f-840482e7cfce,,7194d5d7-30bb-41c2-b2db-7cba5a4ddd57,,,2026-08-06T09:42:17,,,,,,08/06/2026,08/06/2026 09:22:05
Scandroli Construction,0be5d714-8d43-4d66-9462-a1571201b059,,a35f86c9-f58f-4d0f-a0aa-2a2d1c98cb46,,,2026-08-06T09:15:41,,,,,,08/06/2026,08/06/2026 09:22:05
Scandroli Construction,14525cd5-7be6-4647-b08b-0c79d178868b,,a35f86c9-f58f-4d0f-a0aa-2a2d1c98cb46,,,2026-08-06T09:15:41,,,,,,08/06/2026,08/06/2026 09:22:05
Scandroli Construction,25247c50-3d8b-43e6-a73c-7319df5c3277,,,,,2026-08-06T09:15:41,,,,,,08/06/2026,08/06/2026 09:22:05
Scandroli Construction,2cb29eff-867e-4304-a4de-547f009c0534,,cc4b742e-36f7-4045-9f49-5b866388ca6a,,,2026-08-06T08:42:17,,,,,,08/06/2026,08/06/2026 09:22:05
Scandroli Construction,43c1d434-2301-4ea2-b338-789e5141526f,,a0e8809e-8fd8-4550-bd17-5c5c8a778b43,,,2026-08-06T08:00:13,,,,,,08/06/2026,08/06/2026 09:22:05
Scandroli Construction,8bfb8d3b-ac84-4d24-a03d-b2df6396bcf6,,7194d5d7-30bb-41c2-b2db-7cba5a4ddd57,,,2026-08-06T09:42:17,,,,,,08/06/2026,08/06/2026 09:22:05
Scandroli Construction,a9839897-3050-40f3-be14-2206f7a886f9,,8ee10634-856b-4c80-a874-a58c747857e8,,,2026-08-06T08:09:30,,,,,,08/06/2026,08/06/2026 09:22:05
Scandroli Construction,c55fa0c7-7022-4d6e-aa27-96d10ab1f2d2,,a0e8809e-8fd8-4550-bd17-5c5c8a778b43,,,2026-08-06T08:00:13,,,,,,08/06/2026,08/06/2026 09:22:05
Scandroli Construction,d5c82317-ba89-4bb3-bafb-f054dc28e41e,,a35f86c9-f58f-4d0f-a0aa-2a2d1c98cb46,,,2026-08-06T09:15:41,,,,,,08/06/2026,08/06/2026 09:22:05
The Abbey Management Company,18a2f009-05af-4788-9b51-7bb139900314,,0e41d606-92f9-42da-927f-12b5370390be,,,2026-08-06T13:19:13,,,,,,08/06/2026,08/06/2026 09:22:08
The Abbey Management Company,18af3112-ef98-438c-b3a4-f6774ebad59f,,,,,2026-08-05T22:52:23,,,,,,08/06/2026,08/06/2026 09:22:08
The Abbey Management Company,30f625af-c0f2-47ce-8895-9498e58acf46,,,,,2026-08-06T13:19:13,,,,,,08/06/2026,08/06/2026 09:22:08
The Abbey Management Company,66e20b39-94fe-461e-ac9d-9734e6d841c4,,,,,2026-08-05T22:52:23,,,,,,08/06/2026,08/06/2026 09:22:08
The Abbey Management Company,d0537c3b-4d79-4148-b4a7-1f35fef343b0,,,,,2026-08-05T22:52:23,,,,,,08/06/2026,08/06/2026 09:22:08
The Abbey Management Company,f3ed0299-447c-4fc7-acbc-61a779a582c2,,0499d92a-c54c-4445-be4b-4a4af8a16292,,,2026-08-05T22:52:23,,,,,,08/06/2026,08/06/2026 09:22:08
