client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1883,0,0,0,09/08/2026,09/08/2026 11:30:22
Action Plumbing Construction,42,0,0,0,09/08/2026,09/08/2026 11:30:22
Bauer Foundation Corp.,199,0,0,0,09/08/2026,09/08/2026 11:30:22
Canadian Pacific Kansas City,5601,0,0,0,09/08/2026,09/08/2026 11:30:22
"Capital Railroad Contracting, Inc.",97,0,0,0,09/08/2026,09/08/2026 11:30:22
EMMES,301,0,0,0,09/08/2026,09/08/2026 11:30:22
ESS Companies,2710,0,0,0,09/08/2026,09/08/2026 11:30:22
Gart Properties,340,0,0,0,09/08/2026,09/08/2026 11:30:22
Kolb Grading,120,0,0,0,09/08/2026,09/08/2026 11:30:22
Mizuho Bank,27,0,0,0,09/08/2026,09/08/2026 11:30:22
"Musselman & Hall Contractors, LLC",14,0,0,0,09/08/2026,09/08/2026 11:30:22
"Paragon Geophysical Services, Inc.",82,0,0,0,09/08/2026,09/08/2026 11:30:22
Scandroli Construction,944,0,0,0,09/08/2026,09/08/2026 11:30:22
Skyline Developers Construction LLC,16,0,0,0,09/08/2026,09/08/2026 11:30:22
The Abbey Management Company,592,0,0,0,09/08/2026,09/08/2026 11:30:22
Trinity Chemical Industries LLC,153,0,0,0,09/08/2026,09/08/2026 11:30:22
United Coal Company LLC,513,0,0,0,09/08/2026,09/08/2026 11:30:22
