client,vendor_id,vendor_name,tag_id,tag_name,expires_at,sync_date
"Block Real Estate Services, LLC",69fded0c62446148bd848aff,"1-800-Pack Rat, LLC",69bc0d686bc195aa02a7e37a,3rd Request,,2026-09-22
"Block Real Estate Services, LLC",69fded0d62446148bd848b3b,Agape Montessori School/Pulliam Properties LLC,69ea7940633bffa0603cb9d2,Non-Compliant,,2026-09-22
"Block Real Estate Services, LLC",69fded0d62446148bd848b59,"Hamilton Plumbing / Roger The Plumber / American Residential Services, LLC (ARS)",69bc0d686bc195aa02a7e37a,3rd Request,,2026-09-22
"Block Real Estate Services, LLC",69fded0d62446148bd848b71,Anthony's Barber Shop / Anthony Vasquez,69ea7940633bffa0603cb9d2,Non-Compliant,,2026-09-22
"Block Real Estate Services, LLC",69fded0d62446148bd848b74,LaborMax Staffing / Anytime Labor - KC Metro,69ea7940633bffa0603cb9d2,Non-Compliant,,2026-09-22
"Block Real Estate Services, LLC",69fded0d62446148bd848b6e,Puppy Love Grooming / Anntippia Young,6a0728f8f523b35823695b2f,Need Contact,,2026-09-22
"Block Real Estate Services, LLC",69fded0d62446148bd848b6e,Puppy Love Grooming / Anntippia Young,69ea7940633bffa0603cb9d2,Non-Compliant,,2026-09-22
"Block Real Estate Services, LLC",69fded0e62446148bd848b95,Ashley Nelson Studios,69ea7940633bffa0603cb9d2,Non-Compliant,,2026-09-22
"Block Real Estate Services, LLC",69fded0e62446148bd848bb0,AVI-SPL LLC,69ea7940633bffa0603cb9d2,Non-Compliant,,2026-09-22
"Block Real Estate Services, LLC",69fded0e62446148bd848bb9,"Pet Supplies Plus / B&B Pet Products, LLC",69bc0d686bc195aa02a7e376,1st Request,,2026-09-22
"Block Real Estate Services, LLC",69fded0f62446148bd848bda,Bella's Italian Restaurant Inc,69c6c296a5341a1a2dae572c,5th Request,,2026-09-22
"Block Real Estate Services, LLC",69fded0f62446148bd848c0a,"AKKA Karate USA / BMS Fitnes Solutions, Inc. (AKKA Olathe Martial Arts)",69c6c3323e3434940e13e37a,Final Request,,2026-09-22
"Block Real Estate Services, LLC",69fded0f62446148bd848bf8,Block Multi-Family Group,6a0728f8f523b35823695b2f,Need Contact,,2026-09-22
"Block Real Estate Services, LLC",69fded0f62446148bd848bf8,Block Multi-Family Group,69ea7940633bffa0603cb9d2,Non-Compliant,,2026-09-22
