client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1862,0,0,0,04/28/2026,04/28/2026 13:11:34
Action Plumbing Construction,42,0,0,0,04/28/2026,04/28/2026 13:11:34
Bauer Foundation Corp.,152,0,0,0,04/28/2026,04/28/2026 13:11:34
Canadian Pacific Kansas City,5469,0,0,0,04/28/2026,04/28/2026 13:11:34
"Capital Railroad Contracting, Inc.",97,0,0,0,04/28/2026,04/28/2026 13:11:34
EMMES,260,0,0,0,04/28/2026,04/28/2026 13:11:34
ESS Companies,2710,0,0,0,04/28/2026,04/28/2026 13:11:34
Gart Properties,290,0,0,0,04/28/2026,04/28/2026 13:11:34
Kolb Grading,120,0,0,0,04/28/2026,04/28/2026 13:11:34
Mizuho Bank,27,0,0,0,04/28/2026,04/28/2026 13:11:34
"Musselman & Hall Contractors, LLC",14,0,0,0,04/28/2026,04/28/2026 13:11:34
"Paragon Geophysical Services, Inc.",81,0,0,0,04/28/2026,04/28/2026 13:11:34
Scandroli Construction,877,0,0,0,04/28/2026,04/28/2026 13:11:34
Skyline Developers Construction LLC,16,0,0,0,04/28/2026,04/28/2026 13:11:34
The Abbey Management Company,572,0,0,0,04/28/2026,04/28/2026 13:11:34
Trinity Chemical Industries LLC,147,0,0,0,04/28/2026,04/28/2026 13:11:34
United Coal Company LLC,511,0,0,0,04/28/2026,04/28/2026 13:11:34
