client,id,vendor_id,vendor_name,context_id,context_name,name,status,compliance_status,compliance_profile,compliance_tracking,cert_status,cert_expiration,cert_issue_date,cert_reviewed_at,cert_url,cert_processing,cert_flagged,cert_flag_level,cert_flag_notes,cert_applies_to_all,updated_at,sync_date
QTS Data Centers,6a15b733bd30da3db41030d1,69f0f3c5beb6279e947be0f8,"Layton Construction Company, LLC",69f10c28beb6279e947be4f1,"PHX3DC1 - QTS Glendale I DC1, LLC",Insurance Request,active,non_compliant,Standard 10 - UMB 50M,true,,,,,,,false,,,,2026-09-04,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030d2,69f0f3c5beb6279e947be0f8,"Layton Construction Company, LLC",69f10c28beb6279e947be4ed,"PHX3DC2 - QTS Glendale I DC2, LLC",Insurance Request,active,non_compliant,Standard 10 - UMB 50M,true,,,,,,,false,,,,2026-09-04,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030d3,69f0f3c5beb6279e947be0f8,"Layton Construction Company, LLC",69f10c28beb6279e947be4ee,"PHX3DC9 - QTS Glendale I DC9, LLC",Insurance Request,active,non_compliant,Standard 10 - UMB 50M,true,,,,,,,false,,,,2026-09-04,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030d4,69f0f3c5beb6279e947be0ee,"HITT Contracting, Inc.",69f10c28beb6279e947be4d8,"MAN1DC4 - QTS Manassas I DC4, LLC",Insurance Request,active,non_compliant,Standard 11,true,,,,,,,false,,,,2026-09-09,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030d5,69f0f3c5beb6279e947be107,"Structure Tone, LLC",69f10c28beb6279e947be4e6,"DFW2DC2 - QTS Dallas I DC2, LLC",Insurance Request,active,compliant,Standard 12,true,,,,,,,false,,,,2026-09-18,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030d6,69f0f3c5beb6279e947be107,"Structure Tone, LLC",69f10c28beb6279e947be4e7,"DFW2DC4 - QTS Dallas I DC4, LLC",Insurance Request,active,compliant,Standard 12,true,,,,,,,false,,,,2026-09-18,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030d7,69f0f3c5beb6279e947be0f8,"Layton Construction Company, LLC",69f10c28beb6279e947be4f4,"CDR1DC1 - QTS Cedar Rapids I DC1, LLC",Insurance Request,active,non_compliant,Standard 13,true,,,,,,,false,,,,2026-09-04,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030d8,69f0f3c5beb6279e947be0f8,"Layton Construction Company, LLC",69f10c28beb6279e947be4f5,"CDR1DC2 - QTS Cedar Rapids I DC2, LLC",Insurance Request,active,non_compliant,Standard 13,true,,,,,,,false,,,,2026-09-04,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030d9,69f0f3c5beb6279e947be0f8,"Layton Construction Company, LLC",69f10c28beb6279e947be4f6,"CDR1DC3 - QTS Cedar Rapids I DC3, LLC",Insurance Request,active,non_compliant,Standard 13,true,,,,,,,false,,,,2026-09-04,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030db,69f0f3c5beb6279e947be0f8,"Layton Construction Company, LLC",69f10c28beb6279e947be4e9,"SLC1DC1 - QTS Eagle Mountain 1, LLC",Insurance Request,active,non_compliant,Standard 14 with Cyber Liability,true,,,,,,,false,,,,2026-09-08,2026-09-22
