client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1871,0,0,0,06/03/2026,06/03/2026 14:55:34
Action Plumbing Construction,42,0,0,0,06/03/2026,06/03/2026 14:55:34
Bauer Foundation Corp.,156,0,0,0,06/03/2026,06/03/2026 14:55:34
Canadian Pacific Kansas City,5541,0,0,0,06/03/2026,06/03/2026 14:55:34
"Capital Railroad Contracting, Inc.",97,0,0,0,06/03/2026,06/03/2026 14:55:34
EMMES,284,0,0,0,06/03/2026,06/03/2026 14:55:34
ESS Companies,2710,0,0,0,06/03/2026,06/03/2026 14:55:34
Gart Properties,293,0,0,0,06/03/2026,06/03/2026 14:55:34
Kolb Grading,120,0,0,0,06/03/2026,06/03/2026 14:55:34
Mizuho Bank,27,0,0,0,06/03/2026,06/03/2026 14:55:34
"Musselman & Hall Contractors, LLC",14,0,0,0,06/03/2026,06/03/2026 14:55:34
"Paragon Geophysical Services, Inc.",81,0,0,0,06/03/2026,06/03/2026 14:55:34
Scandroli Construction,900,0,0,0,06/03/2026,06/03/2026 14:55:34
Skyline Developers Construction LLC,16,0,0,0,06/03/2026,06/03/2026 14:55:34
The Abbey Management Company,572,0,0,0,06/03/2026,06/03/2026 14:55:34
Trinity Chemical Industries LLC,147,0,0,0,06/03/2026,06/03/2026 14:55:34
United Coal Company LLC,511,0,0,0,06/03/2026,06/03/2026 14:55:34
