client,action_id,action_type,insured_id,insured_name,status,created_at,updated_at,scheduled_at,completed_at,notes,triggered_by,sync_date,sync_timestamp
A G Equipment Company,4fe9509c-5ad9-43f0-ab59-445671286ca6,,acdecbb7-4f73-4e83-b6af-7d49ae38ac30,,,2026-08-04T15:52:05,,,,,,08/04/2026,08/04/2026 12:58:30
Canadian Pacific Kansas City,25bc5f20-84c5-433c-bf8a-85cb02999c1d,,,,,2026-08-04T15:44:13,,,,,,08/04/2026,08/04/2026 12:58:30
Canadian Pacific Kansas City,e495aa73-56bc-4a46-98f9-41fc3f525592,,beccb5f0-825b-40a6-9684-2e32b235fa46,,,2026-08-04T15:57:56,,,,,,08/04/2026,08/04/2026 12:58:30
EMMES,0622e1ae-0f9e-45b7-97c4-fe3632102499,,,,,2026-08-04T10:09:14,,,,,,08/04/2026,08/04/2026 12:58:30
Gart Properties,3e96bd56-d765-400b-aae3-951b0c5a44fe,,,,,2026-08-04T17:56:55,,,,,,08/04/2026,08/04/2026 12:58:30
Gart Properties,72809f6f-5dd7-4ba2-b012-c191a9cd7af9,,,,,2026-07-23T13:41:46,,,,,,08/04/2026,08/04/2026 12:58:30
Gart Properties,7ffc1b29-b22f-406c-8a2e-83e73a0ad780,,,,,2026-08-04T17:56:55,,,,,,08/04/2026,08/04/2026 12:58:30
