client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1883,0,0,0,08/28/2026,08/28/2026 17:02:16
Action Plumbing Construction,42,0,0,0,08/28/2026,08/28/2026 17:02:16
Bauer Foundation Corp.,197,0,0,0,08/28/2026,08/28/2026 17:02:16
Canadian Pacific Kansas City,5574,0,0,0,08/28/2026,08/28/2026 17:02:16
"Capital Railroad Contracting, Inc.",97,0,0,0,08/28/2026,08/28/2026 17:02:16
EMMES,298,0,0,0,08/28/2026,08/28/2026 17:02:16
ESS Companies,2710,0,0,0,08/28/2026,08/28/2026 17:02:16
Gart Properties,337,0,0,0,08/28/2026,08/28/2026 17:02:16
Kolb Grading,120,0,0,0,08/28/2026,08/28/2026 17:02:16
Mizuho Bank,27,0,0,0,08/28/2026,08/28/2026 17:02:16
"Musselman & Hall Contractors, LLC",14,0,0,0,08/28/2026,08/28/2026 17:02:16
"Paragon Geophysical Services, Inc.",82,0,0,0,08/28/2026,08/28/2026 17:02:16
Scandroli Construction,942,0,0,0,08/28/2026,08/28/2026 17:02:16
Skyline Developers Construction LLC,16,0,0,0,08/28/2026,08/28/2026 17:02:16
The Abbey Management Company,592,0,0,0,08/28/2026,08/28/2026 17:02:16
Trinity Chemical Industries LLC,153,0,0,0,08/28/2026,08/28/2026 17:02:16
United Coal Company LLC,513,0,0,0,08/28/2026,08/28/2026 17:02:16
