client,id,name,type,sync_date
"Block Real Estate Services, LLC",69cd64e62ec03b96b33dc339,Additional Insured,custom-fields,2026-06-02
"Block Real Estate Services, LLC",69bd73c0a9080d01db40681b,Certificate Holder,custom-fields,2026-06-02
"Block Real Estate Services, LLC",69d409c726fe5297ac53eceb,Lease  To,custom-fields,2026-06-02
"Block Real Estate Services, LLC",69bd73faa9080d01db40736f,Location,custom-fields,2026-06-02
"Block Real Estate Services, LLC",69d40a7e5abe99fc0df4a646,Property Manager,custom-fields,2026-06-02
"Block Real Estate Services, LLC",6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,2026-06-02
"Block Real Estate Services, LLC",69d409bbfb47f64eb00fe8a5,Spaces,custom-fields,2026-06-02
"Block Real Estate Services, LLC",69cfd25697683f1efaa23994,Tenant Code 1,custom-fields,2026-06-02
"Block Real Estate Services, LLC",69e68c93dc9c6c49cedaf0dd,Tenant Code 2,custom-fields,2026-06-02
"Block Real Estate Services, LLC",69e68ca122ff7a2f8d340dcf,Tenant Code 3,custom-fields,2026-06-02
"Block Real Estate Services, LLC",69fce6b0e16ec51f8a06d629,Tenant Code 4,custom-fields,2026-06-02
"Block Real Estate Services, LLC",69fce6b734cc7f59e690af1c,Tenant Code 5,custom-fields,2026-06-02
Construction Management Inc.,69cbf16502eb730ba911bf65,ID Number,custom-fields,2026-06-02
Construction Management Inc.,69cbf3ab2520203535411db8,Project Location,custom-fields,2026-06-02
Construction Management Inc.,69cbf2f571023055442cc239,Project Name,custom-fields,2026-06-02
Construction Management Inc.,69ef655662401ec8fc189ff9,The Project,custom-fields,2026-06-02
Construction Management Inc.,69efb9c2f0d7b4d1e67676f8,The Project,custom-fields,2026-06-02
Construction Management Inc.,69cbf1c65e4887680bbf00b4,Type,custom-fields,2026-06-02
QTS Data Centers,6a05f562ca42782ea34e79fa,Project ID,custom-fields,2026-06-02
