client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1876,0,0,0,07/09/2026,07/09/2026 10:22:41
Action Plumbing Construction,42,0,0,0,07/09/2026,07/09/2026 10:22:41
Bauer Foundation Corp.,182,0,0,0,07/09/2026,07/09/2026 10:22:41
Canadian Pacific Kansas City,5542,0,0,0,07/09/2026,07/09/2026 10:22:41
"Capital Railroad Contracting, Inc.",97,0,0,0,07/09/2026,07/09/2026 10:22:41
EMMES,293,0,0,0,07/09/2026,07/09/2026 10:22:41
ESS Companies,2710,0,0,0,07/09/2026,07/09/2026 10:22:41
Gart Properties,300,0,0,0,07/09/2026,07/09/2026 10:22:41
Kolb Grading,120,0,0,0,07/09/2026,07/09/2026 10:22:41
Mizuho Bank,27,0,0,0,07/09/2026,07/09/2026 10:22:41
"Musselman & Hall Contractors, LLC",14,0,0,0,07/09/2026,07/09/2026 10:22:41
"Paragon Geophysical Services, Inc.",81,0,0,0,07/09/2026,07/09/2026 10:22:41
Scandroli Construction,905,0,0,0,07/09/2026,07/09/2026 10:22:41
Skyline Developers Construction LLC,16,0,0,0,07/09/2026,07/09/2026 10:22:41
The Abbey Management Company,572,0,0,0,07/09/2026,07/09/2026 10:22:41
Trinity Chemical Industries LLC,147,0,0,0,07/09/2026,07/09/2026 10:22:41
United Coal Company LLC,512,0,0,0,07/09/2026,07/09/2026 10:22:41
