client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1873,0,0,0,06/22/2026,06/22/2026 14:37:34
Action Plumbing Construction,42,0,0,0,06/22/2026,06/22/2026 14:37:34
Bauer Foundation Corp.,170,0,0,0,06/22/2026,06/22/2026 14:37:34
Canadian Pacific Kansas City,5542,0,0,0,06/22/2026,06/22/2026 14:37:34
"Capital Railroad Contracting, Inc.",97,0,0,0,06/22/2026,06/22/2026 14:37:34
EMMES,288,0,0,0,06/22/2026,06/22/2026 14:37:34
ESS Companies,2710,0,0,0,06/22/2026,06/22/2026 14:37:34
Gart Properties,297,0,0,0,06/22/2026,06/22/2026 14:37:34
Kolb Grading,120,0,0,0,06/22/2026,06/22/2026 14:37:34
Mizuho Bank,27,0,0,0,06/22/2026,06/22/2026 14:37:34
"Musselman & Hall Contractors, LLC",14,0,0,0,06/22/2026,06/22/2026 14:37:34
"Paragon Geophysical Services, Inc.",81,0,0,0,06/22/2026,06/22/2026 14:37:34
Scandroli Construction,902,0,0,0,06/22/2026,06/22/2026 14:37:34
Skyline Developers Construction LLC,16,0,0,0,06/22/2026,06/22/2026 14:37:34
The Abbey Management Company,572,0,0,0,06/22/2026,06/22/2026 14:37:34
Trinity Chemical Industries LLC,147,0,0,0,06/22/2026,06/22/2026 14:37:34
United Coal Company LLC,512,0,0,0,06/22/2026,06/22/2026 14:37:34
