client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1876,0,0,0,07/07/2026,07/07/2026 13:10:27
Action Plumbing Construction,42,0,0,0,07/07/2026,07/07/2026 13:10:27
Bauer Foundation Corp.,173,0,0,0,07/07/2026,07/07/2026 13:10:27
Canadian Pacific Kansas City,5542,0,0,0,07/07/2026,07/07/2026 13:10:27
"Capital Railroad Contracting, Inc.",97,0,0,0,07/07/2026,07/07/2026 13:10:27
EMMES,293,0,0,0,07/07/2026,07/07/2026 13:10:27
ESS Companies,2710,0,0,0,07/07/2026,07/07/2026 13:10:27
Gart Properties,300,0,0,0,07/07/2026,07/07/2026 13:10:27
Kolb Grading,120,0,0,0,07/07/2026,07/07/2026 13:10:27
Mizuho Bank,27,0,0,0,07/07/2026,07/07/2026 13:10:27
"Musselman & Hall Contractors, LLC",14,0,0,0,07/07/2026,07/07/2026 13:10:27
"Paragon Geophysical Services, Inc.",81,0,0,0,07/07/2026,07/07/2026 13:10:27
Scandroli Construction,904,0,0,0,07/07/2026,07/07/2026 13:10:27
Skyline Developers Construction LLC,16,0,0,0,07/07/2026,07/07/2026 13:10:27
The Abbey Management Company,572,0,0,0,07/07/2026,07/07/2026 13:10:27
Trinity Chemical Industries LLC,147,0,0,0,07/07/2026,07/07/2026 13:10:27
United Coal Company LLC,512,0,0,0,07/07/2026,07/07/2026 13:10:27
