client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1876,0,0,0,07/27/2026,07/27/2026 09:48:57
Action Plumbing Construction,42,0,0,0,07/27/2026,07/27/2026 09:48:57
Bauer Foundation Corp.,194,0,0,0,07/27/2026,07/27/2026 09:48:57
Canadian Pacific Kansas City,5542,0,0,0,07/27/2026,07/27/2026 09:48:57
"Capital Railroad Contracting, Inc.",97,0,0,0,07/27/2026,07/27/2026 09:48:57
EMMES,296,0,0,0,07/27/2026,07/27/2026 09:48:57
ESS Companies,2710,0,0,0,07/27/2026,07/27/2026 09:48:57
Gart Properties,301,0,0,0,07/27/2026,07/27/2026 09:48:57
Kolb Grading,120,0,0,0,07/27/2026,07/27/2026 09:48:57
Mizuho Bank,27,0,0,0,07/27/2026,07/27/2026 09:48:57
"Musselman & Hall Contractors, LLC",14,0,0,0,07/27/2026,07/27/2026 09:48:57
"Paragon Geophysical Services, Inc.",81,0,0,0,07/27/2026,07/27/2026 09:48:57
Scandroli Construction,908,0,0,0,07/27/2026,07/27/2026 09:48:57
Skyline Developers Construction LLC,16,0,0,0,07/27/2026,07/27/2026 09:48:57
The Abbey Management Company,592,0,0,0,07/27/2026,07/27/2026 09:48:57
Trinity Chemical Industries LLC,153,0,0,0,07/27/2026,07/27/2026 09:48:57
United Coal Company LLC,513,0,0,0,07/27/2026,07/27/2026 09:48:57
