client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1876,0,0,0,07/21/2026,07/21/2026 12:32:34
Action Plumbing Construction,42,0,0,0,07/21/2026,07/21/2026 12:32:34
Bauer Foundation Corp.,190,0,0,0,07/21/2026,07/21/2026 12:32:34
Canadian Pacific Kansas City,5542,0,0,0,07/21/2026,07/21/2026 12:32:34
"Capital Railroad Contracting, Inc.",97,0,0,0,07/21/2026,07/21/2026 12:32:34
EMMES,296,0,0,0,07/21/2026,07/21/2026 12:32:34
ESS Companies,2710,0,0,0,07/21/2026,07/21/2026 12:32:34
Gart Properties,300,0,0,0,07/21/2026,07/21/2026 12:32:34
Kolb Grading,120,0,0,0,07/21/2026,07/21/2026 12:32:34
Mizuho Bank,27,0,0,0,07/21/2026,07/21/2026 12:32:34
"Musselman & Hall Contractors, LLC",14,0,0,0,07/21/2026,07/21/2026 12:32:34
"Paragon Geophysical Services, Inc.",81,0,0,0,07/21/2026,07/21/2026 12:32:34
Scandroli Construction,908,0,0,0,07/21/2026,07/21/2026 12:32:34
Skyline Developers Construction LLC,16,0,0,0,07/21/2026,07/21/2026 12:32:34
The Abbey Management Company,592,0,0,0,07/21/2026,07/21/2026 12:32:34
Trinity Chemical Industries LLC,147,0,0,0,07/21/2026,07/21/2026 12:32:34
United Coal Company LLC,513,0,0,0,07/21/2026,07/21/2026 12:32:34
