client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1883,0,0,0,09/23/2026,09/23/2026 11:39:32
Action Plumbing Construction,42,0,0,0,09/23/2026,09/23/2026 11:39:32
Bauer Foundation Corp.,199,0,0,0,09/23/2026,09/23/2026 11:39:32
Canadian Pacific Kansas City,5601,0,0,0,09/23/2026,09/23/2026 11:39:32
"Capital Railroad Contracting, Inc.",97,0,0,0,09/23/2026,09/23/2026 11:39:32
EMMES,305,0,0,0,09/23/2026,09/23/2026 11:39:32
ESS Companies,2710,0,0,0,09/23/2026,09/23/2026 11:39:32
Gart Properties,340,0,0,0,09/23/2026,09/23/2026 11:39:32
Kolb Grading,120,0,0,0,09/23/2026,09/23/2026 11:39:32
Mizuho Bank,27,0,0,0,09/23/2026,09/23/2026 11:39:32
"Musselman & Hall Contractors, LLC",14,0,0,0,09/23/2026,09/23/2026 11:39:32
"Paragon Geophysical Services, Inc.",82,0,0,0,09/23/2026,09/23/2026 11:39:32
Scandroli Construction,946,0,0,0,09/23/2026,09/23/2026 11:39:32
Skyline Developers Construction LLC,16,0,0,0,09/23/2026,09/23/2026 11:39:32
The Abbey Management Company,592,0,0,0,09/23/2026,09/23/2026 11:39:32
Trinity Chemical Industries LLC,153,0,0,0,09/23/2026,09/23/2026 11:39:32
United Coal Company LLC,514,0,0,0,09/23/2026,09/23/2026 11:39:32
