client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1876,0,0,0,07/10/2026,07/10/2026 12:58:29
Action Plumbing Construction,42,0,0,0,07/10/2026,07/10/2026 12:58:29
Bauer Foundation Corp.,182,0,0,0,07/10/2026,07/10/2026 12:58:29
Canadian Pacific Kansas City,5542,0,0,0,07/10/2026,07/10/2026 12:58:29
"Capital Railroad Contracting, Inc.",97,0,0,0,07/10/2026,07/10/2026 12:58:29
EMMES,293,0,0,0,07/10/2026,07/10/2026 12:58:29
ESS Companies,2710,0,0,0,07/10/2026,07/10/2026 12:58:29
Gart Properties,300,0,0,0,07/10/2026,07/10/2026 12:58:29
Kolb Grading,120,0,0,0,07/10/2026,07/10/2026 12:58:29
Mizuho Bank,27,0,0,0,07/10/2026,07/10/2026 12:58:29
"Musselman & Hall Contractors, LLC",14,0,0,0,07/10/2026,07/10/2026 12:58:29
"Paragon Geophysical Services, Inc.",81,0,0,0,07/10/2026,07/10/2026 12:58:29
Scandroli Construction,908,0,0,0,07/10/2026,07/10/2026 12:58:29
Skyline Developers Construction LLC,16,0,0,0,07/10/2026,07/10/2026 12:58:29
The Abbey Management Company,572,0,0,0,07/10/2026,07/10/2026 12:58:29
Trinity Chemical Industries LLC,147,0,0,0,07/10/2026,07/10/2026 12:58:29
United Coal Company LLC,512,0,0,0,07/10/2026,07/10/2026 12:58:29
