client,vendor_id,vendor_name,document_id,document_name,document_types,status,reviewed_at,archived_at,expiration_date,issue_date,flagged,flag_level,flag_notes,applies_to_all,insurer_names,created_at,sync_date
"Block Real Estate Services, LLC",69fded0f62446148bd848c10,"Body Contour Centers, LLC",6a05e5748b5928c024ac97f3,COI20241030.pdf,,processed,,,2025-10-01,2024-10-30,false,,,true,"Hartford Fire Insurance Company; Everest National Insurance Company; Hartford - WC Multiple Issuing Cos; Trumbull Insurance Company; Beazley America Insurance Company, Inc.",2026-05-14,2026-05-15
"Block Real Estate Services, LLC",69fded0f62446148bd848c10,"Body Contour Centers, LLC",6a05e575ca42782ea34a887f,BodyContourCentersCOI.pdf,,processed,,,2022-10-07,2021-09-30,false,,,true,"Ohio Security Insurance Co.
P.O. Box 34756
Seattle WA 98124",2026-05-14,2026-05-15
"Block Real Estate Services, LLC",69fded1062446148bd848c3a,BWI Companies Inc,6a05e8711f712c628e42f954,11.19.2020.pdf,,processed,,,2021-11-01,2020-11-19,false,,,true,Travelers Property Casualty Company of America; Everest Indemnity Insurance Company; The Travelers Indemnity Company; The Charter Oak Fire Insurance Company,2026-05-14,2026-05-15
"Block Real Estate Services, LLC",69fded1262446148bd848cd0,Crossroads Courier Inc,6a05ea638b5928c024adef81,kcip.pdf,,processed,,,2022-07-29,2022-04-11,false,,,true,Ohio Security Insurance Company; TT Club Mutual Ins . Ltd.; Progressive Casualty Insurance Company; James River Insurance Company,2026-05-14,2026-05-15
"Block Real Estate Services, LLC",69fded1262446148bd848ce8,Dairy Farmers Of America,6a05e543feb0a066655b883e,previewevidenceholder.pdf,,processed,,,,,false,,,true,,2026-05-14,2026-05-15
"Block Real Estate Services, LLC",69fded1262446148bd848ce8,Dairy Farmers Of America,6a05e5461f712c628e423970,img20201019_15274108.pdf,,processed,,,2021-10-01,2020-10-02,false,,,true,ACE American Insurance Company; ACE Property and Casualty Insurance Company; Indemnity Insurance Company of North America; ACE Fire Underwriters Company of North America,2026-05-14,2026-05-15
"Block Real Estate Services, LLC",69fded1262446148bd848ce8,Dairy Farmers Of America,6a05e548ca42782ea34a7cbf,DairyFarmersCOI.pdf,,processed,,,2024-10-01,2023-10-02,false,,,true,"National Union Fire Insurance Company of Pittsburgh, Pa.; AIU Insurance Company; National Union Fire Insurance Company of Pittsburgh, Pa.",2026-05-14,2026-05-15
"Block Real Estate Services, LLC",69fded1262446148bd848ce8,Dairy Farmers Of America,6a05e548d9aed916f09c1ba0,12-10-2021.pdf,,processed,,,,,false,,,true,,2026-05-14,2026-05-15
"Block Real Estate Services, LLC",69fded1262446148bd848ceb,Dairy Farmers of America Inc,6a05e544fe7b4a8a036130ea,"609957-BLOCKREALESTATESERVICES,LLC.pdf",,processed,,,,,false,,,true,,2026-05-14,2026-05-15
"Block Real Estate Services, LLC",69fded1262446148bd848ceb,Dairy Farmers of America Inc,6a05e545b65dbfe9915fe536,BlockRealEstate-DFA.pdf,,processed,,,2021-10-01,2020-10-01,false,,,true,ACE American Insurance Company; ACE Property and Casualty Insurance Company; Indemnity Insurance Company of North America; ACE Fire Underwriters Company of North America,2026-05-14,2026-05-15
