client,request_id,vendor_id,vendor_name,context_id,context_name,request_name,status,compliance_status,compliance_profile,compliance_tracking,cert_status,cert_expiration,cert_issue_date,cert_reviewed_at,cert_url,cert_flag_level,cert_flag_notes,applies_to_all,updated_at,sync_date
"Block Real Estate Services, LLC",6a072945f523b358236961c3,6a072945f523b358236961c2,KAWNEER COMPANY - ARCONIC CORPORATION,,,Request,active,compliant,,true,,,,,,,,,2026-05-21,2026-05-27
"Block Real Estate Services, LLC",6a072946f523b358236961f5,6a072946f523b358236961f4,LONG MOTOR CORPORATION,,,Request,active,compliant,,true,,,,,,,,,2026-05-22,2026-05-27
"Block Real Estate Services, LLC",6a072948f523b3582369628b,6a072948f523b3582369628a,"CITY YEAR KANSAS CITY / CITY YEAR, INC.",,,Request,active,compliant,,true,,,,,,,,,2026-05-27,2026-05-27
"Block Real Estate Services, LLC",6a072948f523b35823696295,6a072948f523b35823696294,"ADVANCED AUTO / ADVANCED STORES CO., INC.",,,Request,active,compliant,,true,,,,,,,,,2026-05-26,2026-05-27
"Block Real Estate Services, LLC",6a07294af523b3582369632b,6a07294af523b3582369632a,"ROYAL GYROS (ROYAL DONUTS, LLC) / AHED KALIFA",,,Request,active,compliant,,true,,,,,,,,,2026-05-21,2026-05-27
"Block Real Estate Services, LLC",6a07294bf523b35823696335,6a07294bf523b35823696334,DOLLAR TREE,,,Request,active,compliant,,true,,,,,,,,,2026-05-27,2026-05-27
"Block Real Estate Services, LLC",6a07294cf523b3582369637b,6a07294cf523b3582369637a,"AGILITI HEALTH, INC.",,,Request,active,compliant,,true,,,,,,,,,2026-05-19,2026-05-27
"Block Real Estate Services, LLC",6a07294cf523b35823696385,6a07294cf523b35823696384,"ICON / PRA HEALTH SCIENCES / PHARMACEUTICAL RESEARCH ASSOCIATES, INC.",,,Request,active,compliant,,true,,,,,,,,,2026-05-27,2026-05-27
"Block Real Estate Services, LLC",6a07294ff523b3582369645c,6a07294ff523b3582369645b,MOHAWK,,,Request,active,compliant,,true,,,,,,,,,2026-05-27,2026-05-27
"Block Real Estate Services, LLC",6a07294ff523b35823696466,6a07294ff523b35823696465,LANSING BUILDING PRODUCTS,,,Request,active,compliant,,true,,,,,,,,,2026-05-22,2026-05-27
"Block Real Estate Services, LLC",6a072950f523b3582369647f,6a072950f523b3582369647e,FEDEX,,,Request,active,compliant,,true,,,,,,,,,2026-05-27,2026-05-27
"Block Real Estate Services, LLC",6a072951f523b358236964f2,6a072951f523b358236964f1,"BONKERS / FEG BONKERS TOPEKA, LLC",,,Request,active,compliant,,true,,,,,,,,,2026-05-27,2026-05-27
"Block Real Estate Services, LLC",6a072951f523b358236964f7,6a072951f523b358236964f6,BELLA SALON & DAY SPA / AKVANDONGE,,,Request,active,compliant,,true,,,,,,,,,2026-05-27,2026-05-27
"Block Real Estate Services, LLC",6a072952f523b35823696510,6a072952f523b3582369650f,WOODBRIDGE,,,Request,active,compliant,,true,,,,,,,,,2026-05-27,2026-05-27
"Block Real Estate Services, LLC",6a072952f523b3582369651a,6a072952f523b35823696519,"JUNIOR LEAGUE OF WYANDOTTE AND JOHNSON COUNTIES IN KANSAS, INC.",,,Request,active,compliant,,true,,,,,,,,,2026-05-21,2026-05-27
"Block Real Estate Services, LLC",6a072953f523b35823696565,6a072953f523b35823696564,"THERMO FISCHER / REMEL, INC.",,,Request,active,compliant,,true,,,,,,,,,2026-05-22,2026-05-27
"Block Real Estate Services, LLC",6a072955f523b358236965f6,6a072955f523b358236965f5,"DAL TILE / MOHAWK CARPET DISTRIBUTION, INC",,,Request,active,compliant,,true,,,,,,,,,2026-05-21,2026-05-27
"Block Real Estate Services, LLC",6a072956f523b3582369663c,6a072956f523b3582369663b,FRESENIUS MEDICAL CARE,,,Request,active,compliant,,true,,,,,,,,,2026-05-22,2026-05-27
"Block Real Estate Services, LLC",6a072959f523b358236966f5,6a072959f523b358236966f4,STUDIO 5 BEAUTY BOUTIQUE / JAYCI LYNN STRATTON,,,Request,active,compliant,,true,,,,,,,,,2026-05-26,2026-05-27
"Block Real Estate Services, LLC",6a07295af523b35823696731,6a07295af523b35823696730,"ASCEND HOSPICE / CARE ALTERNATIVES OF MISSOURI, LLC",,,Request,active,compliant,,true,,,,,,,,,2026-05-26,2026-05-27
