client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1879,0,0,0,08/25/2026,08/25/2026 11:54:44
Action Plumbing Construction,42,0,0,0,08/25/2026,08/25/2026 11:54:44
Bauer Foundation Corp.,197,0,0,0,08/25/2026,08/25/2026 11:54:44
Canadian Pacific Kansas City,5574,0,0,0,08/25/2026,08/25/2026 11:54:44
"Capital Railroad Contracting, Inc.",97,0,0,0,08/25/2026,08/25/2026 11:54:44
EMMES,298,0,0,0,08/25/2026,08/25/2026 11:54:44
ESS Companies,2710,0,0,0,08/25/2026,08/25/2026 11:54:44
Gart Properties,337,0,0,0,08/25/2026,08/25/2026 11:54:44
Kolb Grading,120,0,0,0,08/25/2026,08/25/2026 11:54:44
Mizuho Bank,27,0,0,0,08/25/2026,08/25/2026 11:54:44
"Musselman & Hall Contractors, LLC",14,0,0,0,08/25/2026,08/25/2026 11:54:44
"Paragon Geophysical Services, Inc.",82,0,0,0,08/25/2026,08/25/2026 11:54:44
Scandroli Construction,942,0,0,0,08/25/2026,08/25/2026 11:54:44
Skyline Developers Construction LLC,16,0,0,0,08/25/2026,08/25/2026 11:54:44
The Abbey Management Company,592,0,0,0,08/25/2026,08/25/2026 11:54:44
Trinity Chemical Industries LLC,153,0,0,0,08/25/2026,08/25/2026 11:54:44
United Coal Company LLC,513,0,0,0,08/25/2026,08/25/2026 11:54:44
