client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1878,0,0,0,08/10/2026,08/10/2026 15:55:26
Action Plumbing Construction,42,0,0,0,08/10/2026,08/10/2026 15:55:26
Bauer Foundation Corp.,197,0,0,0,08/10/2026,08/10/2026 15:55:26
Canadian Pacific Kansas City,5542,0,0,0,08/10/2026,08/10/2026 15:55:26
"Capital Railroad Contracting, Inc.",97,0,0,0,08/10/2026,08/10/2026 15:55:26
EMMES,296,0,0,0,08/10/2026,08/10/2026 15:55:26
ESS Companies,2710,0,0,0,08/10/2026,08/10/2026 15:55:26
Gart Properties,335,0,0,0,08/10/2026,08/10/2026 15:55:26
Kolb Grading,120,0,0,0,08/10/2026,08/10/2026 15:55:26
Mizuho Bank,27,0,0,0,08/10/2026,08/10/2026 15:55:26
"Musselman & Hall Contractors, LLC",14,0,0,0,08/10/2026,08/10/2026 15:55:26
"Paragon Geophysical Services, Inc.",81,0,0,0,08/10/2026,08/10/2026 15:55:26
Scandroli Construction,942,0,0,0,08/10/2026,08/10/2026 15:55:26
Skyline Developers Construction LLC,16,0,0,0,08/10/2026,08/10/2026 15:55:26
The Abbey Management Company,592,0,0,0,08/10/2026,08/10/2026 15:55:26
Trinity Chemical Industries LLC,153,0,0,0,08/10/2026,08/10/2026 15:55:26
United Coal Company LLC,513,0,0,0,08/10/2026,08/10/2026 15:55:26
