client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1876,0,0,0,07/21/2026,07/21/2026 16:21:56
Action Plumbing Construction,42,0,0,0,07/21/2026,07/21/2026 16:21:56
Bauer Foundation Corp.,191,0,0,0,07/21/2026,07/21/2026 16:21:56
Canadian Pacific Kansas City,5542,0,0,0,07/21/2026,07/21/2026 16:21:56
"Capital Railroad Contracting, Inc.",97,0,0,0,07/21/2026,07/21/2026 16:21:56
EMMES,296,0,0,0,07/21/2026,07/21/2026 16:21:56
ESS Companies,2710,0,0,0,07/21/2026,07/21/2026 16:21:56
Gart Properties,300,0,0,0,07/21/2026,07/21/2026 16:21:56
Kolb Grading,120,0,0,0,07/21/2026,07/21/2026 16:21:56
Mizuho Bank,27,0,0,0,07/21/2026,07/21/2026 16:21:56
"Musselman & Hall Contractors, LLC",14,0,0,0,07/21/2026,07/21/2026 16:21:56
"Paragon Geophysical Services, Inc.",81,0,0,0,07/21/2026,07/21/2026 16:21:56
Scandroli Construction,908,0,0,0,07/21/2026,07/21/2026 16:21:56
Skyline Developers Construction LLC,16,0,0,0,07/21/2026,07/21/2026 16:21:56
The Abbey Management Company,592,0,0,0,07/21/2026,07/21/2026 16:21:56
Trinity Chemical Industries LLC,153,0,0,0,07/21/2026,07/21/2026 16:21:56
United Coal Company LLC,513,0,0,0,07/21/2026,07/21/2026 16:21:56
