client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1883,0,0,0,09/14/2026,09/14/2026 18:15:46
Action Plumbing Construction,42,0,0,0,09/14/2026,09/14/2026 18:15:46
Bauer Foundation Corp.,199,0,0,0,09/14/2026,09/14/2026 18:15:46
Canadian Pacific Kansas City,5601,0,0,0,09/14/2026,09/14/2026 18:15:46
"Capital Railroad Contracting, Inc.",97,0,0,0,09/14/2026,09/14/2026 18:15:46
EMMES,302,0,0,0,09/14/2026,09/14/2026 18:15:46
ESS Companies,2710,0,0,0,09/14/2026,09/14/2026 18:15:46
Gart Properties,340,0,0,0,09/14/2026,09/14/2026 18:15:46
Kolb Grading,120,0,0,0,09/14/2026,09/14/2026 18:15:46
Mizuho Bank,27,0,0,0,09/14/2026,09/14/2026 18:15:46
"Musselman & Hall Contractors, LLC",14,0,0,0,09/14/2026,09/14/2026 18:15:46
"Paragon Geophysical Services, Inc.",82,0,0,0,09/14/2026,09/14/2026 18:15:46
Scandroli Construction,945,0,0,0,09/14/2026,09/14/2026 18:15:46
Skyline Developers Construction LLC,16,0,0,0,09/14/2026,09/14/2026 18:15:46
The Abbey Management Company,592,0,0,0,09/14/2026,09/14/2026 18:15:46
Trinity Chemical Industries LLC,153,0,0,0,09/14/2026,09/14/2026 18:15:46
United Coal Company LLC,514,0,0,0,09/14/2026,09/14/2026 18:15:46
