client,id,name,plural_name,slug,icon,created_at,updated_at,sync_date
"Block Real Estate Services, LLC",69bc0d686bc195aa02a7e3b0,Party,Parties,parties,shop,2026-03-19,2026-04-01,2026-06-15
Construction Management Inc.,69c55ecf8839dd8358282da2,Party,Parties,parties,shop,2026-03-26,2026-04-14,2026-06-15
QTS Data Centers,69f0b71d7b24cf3460d0c07d,Party,Parties,parties,shop,2026-04-28,2026-04-28,2026-06-15
DEMO Client,69fa47d9ad94f1fe3056a8c6,Party,Parties,parties,shop,2026-05-05,2026-06-08,2026-06-15
DEMO Client,6a26c61021f31ad9aaa2f0a0,Test,Tests,tests,shop,2026-06-08,2026-06-08,2026-06-15
