client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1873,0,0,0,06/23/2026,06/23/2026 09:58:41
Action Plumbing Construction,42,0,0,0,06/23/2026,06/23/2026 09:58:41
Bauer Foundation Corp.,170,0,0,0,06/23/2026,06/23/2026 09:58:41
Canadian Pacific Kansas City,5542,0,0,0,06/23/2026,06/23/2026 09:58:41
"Capital Railroad Contracting, Inc.",97,0,0,0,06/23/2026,06/23/2026 09:58:41
EMMES,289,0,0,0,06/23/2026,06/23/2026 09:58:41
ESS Companies,2710,0,0,0,06/23/2026,06/23/2026 09:58:41
Gart Properties,298,0,0,0,06/23/2026,06/23/2026 09:58:41
Kolb Grading,120,0,0,0,06/23/2026,06/23/2026 09:58:41
Mizuho Bank,27,0,0,0,06/23/2026,06/23/2026 09:58:41
"Musselman & Hall Contractors, LLC",14,0,0,0,06/23/2026,06/23/2026 09:58:41
"Paragon Geophysical Services, Inc.",81,0,0,0,06/23/2026,06/23/2026 09:58:41
Scandroli Construction,903,0,0,0,06/23/2026,06/23/2026 09:58:41
Skyline Developers Construction LLC,16,0,0,0,06/23/2026,06/23/2026 09:58:41
The Abbey Management Company,572,0,0,0,06/23/2026,06/23/2026 09:58:41
Trinity Chemical Industries LLC,147,0,0,0,06/23/2026,06/23/2026 09:58:41
United Coal Company LLC,512,0,0,0,06/23/2026,06/23/2026 09:58:41
