client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1871,0,0,0,06/18/2026,06/18/2026 10:35:30
Action Plumbing Construction,42,0,0,0,06/18/2026,06/18/2026 10:35:30
Bauer Foundation Corp.,169,0,0,0,06/18/2026,06/18/2026 10:35:30
Canadian Pacific Kansas City,5542,0,0,0,06/18/2026,06/18/2026 10:35:30
"Capital Railroad Contracting, Inc.",97,0,0,0,06/18/2026,06/18/2026 10:35:30
EMMES,288,0,0,0,06/18/2026,06/18/2026 10:35:30
ESS Companies,2710,0,0,0,06/18/2026,06/18/2026 10:35:30
Gart Properties,297,0,0,0,06/18/2026,06/18/2026 10:35:30
Kolb Grading,120,0,0,0,06/18/2026,06/18/2026 10:35:30
Mizuho Bank,27,0,0,0,06/18/2026,06/18/2026 10:35:30
"Musselman & Hall Contractors, LLC",14,0,0,0,06/18/2026,06/18/2026 10:35:30
"Paragon Geophysical Services, Inc.",81,0,0,0,06/18/2026,06/18/2026 10:35:30
Scandroli Construction,902,0,0,0,06/18/2026,06/18/2026 10:35:30
Skyline Developers Construction LLC,16,0,0,0,06/18/2026,06/18/2026 10:35:30
The Abbey Management Company,572,0,0,0,06/18/2026,06/18/2026 10:35:30
Trinity Chemical Industries LLC,147,0,0,0,06/18/2026,06/18/2026 10:35:30
United Coal Company LLC,512,0,0,0,06/18/2026,06/18/2026 10:35:30
