client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1876,0,0,0,07/17/2026,07/17/2026 12:23:02
Action Plumbing Construction,42,0,0,0,07/17/2026,07/17/2026 12:23:02
Bauer Foundation Corp.,190,0,0,0,07/17/2026,07/17/2026 12:23:02
Canadian Pacific Kansas City,5542,0,0,0,07/17/2026,07/17/2026 12:23:02
"Capital Railroad Contracting, Inc.",97,0,0,0,07/17/2026,07/17/2026 12:23:02
EMMES,294,0,0,0,07/17/2026,07/17/2026 12:23:02
ESS Companies,2710,0,0,0,07/17/2026,07/17/2026 12:23:02
Gart Properties,300,0,0,0,07/17/2026,07/17/2026 12:23:02
Kolb Grading,120,0,0,0,07/17/2026,07/17/2026 12:23:02
Mizuho Bank,27,0,0,0,07/17/2026,07/17/2026 12:23:02
"Musselman & Hall Contractors, LLC",14,0,0,0,07/17/2026,07/17/2026 12:23:02
"Paragon Geophysical Services, Inc.",81,0,0,0,07/17/2026,07/17/2026 12:23:02
Scandroli Construction,908,0,0,0,07/17/2026,07/17/2026 12:23:02
Skyline Developers Construction LLC,16,0,0,0,07/17/2026,07/17/2026 12:23:02
The Abbey Management Company,592,0,0,0,07/17/2026,07/17/2026 12:23:02
Trinity Chemical Industries LLC,147,0,0,0,07/17/2026,07/17/2026 12:23:02
United Coal Company LLC,512,0,0,0,07/17/2026,07/17/2026 12:23:02
