client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1883,0,0,0,09/04/2026,09/04/2026 11:12:50
Action Plumbing Construction,42,0,0,0,09/04/2026,09/04/2026 11:12:50
Bauer Foundation Corp.,198,0,0,0,09/04/2026,09/04/2026 11:12:50
Canadian Pacific Kansas City,5601,0,0,0,09/04/2026,09/04/2026 11:12:50
"Capital Railroad Contracting, Inc.",97,0,0,0,09/04/2026,09/04/2026 11:12:50
EMMES,298,0,0,0,09/04/2026,09/04/2026 11:12:50
ESS Companies,2710,0,0,0,09/04/2026,09/04/2026 11:12:50
Gart Properties,340,0,0,0,09/04/2026,09/04/2026 11:12:50
Kolb Grading,120,0,0,0,09/04/2026,09/04/2026 11:12:50
Mizuho Bank,27,0,0,0,09/04/2026,09/04/2026 11:12:50
"Musselman & Hall Contractors, LLC",14,0,0,0,09/04/2026,09/04/2026 11:12:50
"Paragon Geophysical Services, Inc.",82,0,0,0,09/04/2026,09/04/2026 11:12:50
Scandroli Construction,944,0,0,0,09/04/2026,09/04/2026 11:12:50
Skyline Developers Construction LLC,16,0,0,0,09/04/2026,09/04/2026 11:12:50
The Abbey Management Company,592,0,0,0,09/04/2026,09/04/2026 11:12:50
Trinity Chemical Industries LLC,153,0,0,0,09/04/2026,09/04/2026 11:12:50
United Coal Company LLC,513,0,0,0,09/04/2026,09/04/2026 11:12:50
