client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1876,0,0,0,07/20/2026,07/20/2026 16:22:44
Action Plumbing Construction,42,0,0,0,07/20/2026,07/20/2026 16:22:44
Bauer Foundation Corp.,190,0,0,0,07/20/2026,07/20/2026 16:22:44
Canadian Pacific Kansas City,5542,0,0,0,07/20/2026,07/20/2026 16:22:44
"Capital Railroad Contracting, Inc.",97,0,0,0,07/20/2026,07/20/2026 16:22:44
EMMES,295,0,0,0,07/20/2026,07/20/2026 16:22:44
ESS Companies,2710,0,0,0,07/20/2026,07/20/2026 16:22:44
Gart Properties,300,0,0,0,07/20/2026,07/20/2026 16:22:44
Kolb Grading,120,0,0,0,07/20/2026,07/20/2026 16:22:44
Mizuho Bank,27,0,0,0,07/20/2026,07/20/2026 16:22:44
"Musselman & Hall Contractors, LLC",14,0,0,0,07/20/2026,07/20/2026 16:22:44
"Paragon Geophysical Services, Inc.",81,0,0,0,07/20/2026,07/20/2026 16:22:44
Scandroli Construction,908,0,0,0,07/20/2026,07/20/2026 16:22:44
Skyline Developers Construction LLC,16,0,0,0,07/20/2026,07/20/2026 16:22:44
The Abbey Management Company,592,0,0,0,07/20/2026,07/20/2026 16:22:44
Trinity Chemical Industries LLC,147,0,0,0,07/20/2026,07/20/2026 16:22:44
United Coal Company LLC,513,0,0,0,07/20/2026,07/20/2026 16:22:44
