client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1871,0,0,0,06/09/2026,06/09/2026 16:54:27
Action Plumbing Construction,42,0,0,0,06/09/2026,06/09/2026 16:54:27
Bauer Foundation Corp.,169,0,0,0,06/09/2026,06/09/2026 16:54:27
Canadian Pacific Kansas City,5542,0,0,0,06/09/2026,06/09/2026 16:54:27
"Capital Railroad Contracting, Inc.",97,0,0,0,06/09/2026,06/09/2026 16:54:27
EMMES,285,0,0,0,06/09/2026,06/09/2026 16:54:27
ESS Companies,2710,0,0,0,06/09/2026,06/09/2026 16:54:27
Gart Properties,296,0,0,0,06/09/2026,06/09/2026 16:54:27
Kolb Grading,120,0,0,0,06/09/2026,06/09/2026 16:54:27
Mizuho Bank,27,0,0,0,06/09/2026,06/09/2026 16:54:27
"Musselman & Hall Contractors, LLC",14,0,0,0,06/09/2026,06/09/2026 16:54:27
"Paragon Geophysical Services, Inc.",81,0,0,0,06/09/2026,06/09/2026 16:54:27
Scandroli Construction,901,0,0,0,06/09/2026,06/09/2026 16:54:27
Skyline Developers Construction LLC,16,0,0,0,06/09/2026,06/09/2026 16:54:27
The Abbey Management Company,572,0,0,0,06/09/2026,06/09/2026 16:54:27
Trinity Chemical Industries LLC,147,0,0,0,06/09/2026,06/09/2026 16:54:27
United Coal Company LLC,511,0,0,0,06/09/2026,06/09/2026 16:54:27
