client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1874,0,0,0,06/26/2026,06/26/2026 12:55:46
Action Plumbing Construction,42,0,0,0,06/26/2026,06/26/2026 12:55:46
Bauer Foundation Corp.,170,0,0,0,06/26/2026,06/26/2026 12:55:46
Canadian Pacific Kansas City,5542,0,0,0,06/26/2026,06/26/2026 12:55:46
"Capital Railroad Contracting, Inc.",97,0,0,0,06/26/2026,06/26/2026 12:55:46
EMMES,290,0,0,0,06/26/2026,06/26/2026 12:55:46
ESS Companies,2710,0,0,0,06/26/2026,06/26/2026 12:55:46
Gart Properties,300,0,0,0,06/26/2026,06/26/2026 12:55:46
Kolb Grading,120,0,0,0,06/26/2026,06/26/2026 12:55:46
Mizuho Bank,27,0,0,0,06/26/2026,06/26/2026 12:55:46
"Musselman & Hall Contractors, LLC",14,0,0,0,06/26/2026,06/26/2026 12:55:46
"Paragon Geophysical Services, Inc.",81,0,0,0,06/26/2026,06/26/2026 12:55:46
Scandroli Construction,904,0,0,0,06/26/2026,06/26/2026 12:55:46
Skyline Developers Construction LLC,16,0,0,0,06/26/2026,06/26/2026 12:55:46
The Abbey Management Company,572,0,0,0,06/26/2026,06/26/2026 12:55:46
Trinity Chemical Industries LLC,147,0,0,0,06/26/2026,06/26/2026 12:55:46
United Coal Company LLC,512,0,0,0,06/26/2026,06/26/2026 12:55:46
