client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1874,0,0,0,06/29/2026,06/29/2026 13:16:04
Action Plumbing Construction,42,0,0,0,06/29/2026,06/29/2026 13:16:04
Bauer Foundation Corp.,170,0,0,0,06/29/2026,06/29/2026 13:16:04
Canadian Pacific Kansas City,5542,0,0,0,06/29/2026,06/29/2026 13:16:04
"Capital Railroad Contracting, Inc.",97,0,0,0,06/29/2026,06/29/2026 13:16:04
EMMES,292,0,0,0,06/29/2026,06/29/2026 13:16:04
ESS Companies,2710,0,0,0,06/29/2026,06/29/2026 13:16:04
Gart Properties,300,0,0,0,06/29/2026,06/29/2026 13:16:04
Kolb Grading,120,0,0,0,06/29/2026,06/29/2026 13:16:04
Mizuho Bank,27,0,0,0,06/29/2026,06/29/2026 13:16:04
"Musselman & Hall Contractors, LLC",14,0,0,0,06/29/2026,06/29/2026 13:16:04
"Paragon Geophysical Services, Inc.",81,0,0,0,06/29/2026,06/29/2026 13:16:04
Scandroli Construction,904,0,0,0,06/29/2026,06/29/2026 13:16:04
Skyline Developers Construction LLC,16,0,0,0,06/29/2026,06/29/2026 13:16:04
The Abbey Management Company,572,0,0,0,06/29/2026,06/29/2026 13:16:04
Trinity Chemical Industries LLC,147,0,0,0,06/29/2026,06/29/2026 13:16:04
United Coal Company LLC,512,0,0,0,06/29/2026,06/29/2026 13:16:04
