client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1878,0,0,0,08/18/2026,08/18/2026 15:42:28
Action Plumbing Construction,42,0,0,0,08/18/2026,08/18/2026 15:42:28
Bauer Foundation Corp.,197,0,0,0,08/18/2026,08/18/2026 15:42:28
Canadian Pacific Kansas City,5573,0,0,0,08/18/2026,08/18/2026 15:42:28
"Capital Railroad Contracting, Inc.",97,0,0,0,08/18/2026,08/18/2026 15:42:28
EMMES,298,0,0,0,08/18/2026,08/18/2026 15:42:28
ESS Companies,2710,0,0,0,08/18/2026,08/18/2026 15:42:28
Gart Properties,335,0,0,0,08/18/2026,08/18/2026 15:42:28
Kolb Grading,120,0,0,0,08/18/2026,08/18/2026 15:42:28
Mizuho Bank,27,0,0,0,08/18/2026,08/18/2026 15:42:28
"Musselman & Hall Contractors, LLC",14,0,0,0,08/18/2026,08/18/2026 15:42:28
"Paragon Geophysical Services, Inc.",82,0,0,0,08/18/2026,08/18/2026 15:42:28
Scandroli Construction,942,0,0,0,08/18/2026,08/18/2026 15:42:28
Skyline Developers Construction LLC,16,0,0,0,08/18/2026,08/18/2026 15:42:28
The Abbey Management Company,592,0,0,0,08/18/2026,08/18/2026 15:42:28
Trinity Chemical Industries LLC,153,0,0,0,08/18/2026,08/18/2026 15:42:28
United Coal Company LLC,513,0,0,0,08/18/2026,08/18/2026 15:42:28
